"scenario","val","lower","upper","group","inter"
2,0.151157885182612,0.138038021529741,0.163858821759627,"Both-Both","Contact precaution"
2,0.113194075750857,0.0999288933328829,0.126344281685396,"Both-Contact","Contact precaution"
2,0.0732196648934892,0.0593991413329184,0.0868345288655353,"Both-Duration","Contact precaution"
2,0.0888731007726854,0.0747775036801746,0.102683105226629,"Patients-Both","Contact precaution"
2,0.144402563743141,0.130357580191327,0.157802080564753,"Patients-Contact","Contact precaution"
2,0.13637182871984,0.122992709935593,0.149954290247243,"Patients-Duration","Contact precaution"
2,0.125344670529228,0.111376582483118,0.138697889081255,"Staff-Both","Contact precaution"
2,0.195709017536075,0.18319867718883,0.207793270244128,"Staff-Contact","Contact precaution"
2,0.118740522570137,0.105224177222743,0.131993572138702,"Staff-Duration","Contact precaution"
4,0.198480210272456,0.18594189559723,0.210725401244267,"Both-Both","Contact precaution"
4,0.18176314604684,0.169343306790472,0.193760097381512,"Both-Contact","Contact precaution"
4,0.173576309770029,0.160538216482421,0.186524753081864,"Both-Duration","Contact precaution"
4,0.153229770498269,0.139580267117471,0.166380483397572,"Patients-Both","Contact precaution"
4,0.195991001617176,0.183565342937671,0.20828433510026,"Patients-Contact","Contact precaution"
4,0.208887809370048,0.197718906979367,0.220165359147278,"Patients-Duration","Contact precaution"
4,0.265953867341691,0.254477234412859,0.277205938524597,"Staff-Both","Contact precaution"
4,0.269477401319972,0.256624847464407,0.282095137652857,"Staff-Contact","Contact precaution"
4,0.235774113202327,0.224366726933247,0.246989030657311,"Staff-Duration","Contact precaution"
6,0.23614109598883,0.224729432266239,0.247526059511539,"Both-Both","Contact precaution"
6,0.186911305250414,0.17495849561653,0.198856481577316,"Both-Contact","Contact precaution"
6,0.205165877567581,0.193165981540848,0.216998452150983,"Both-Duration","Contact precaution"
6,0.167713445890649,0.155030792493705,0.180614646865497,"Patients-Both","Contact precaution"
6,0.210343631032796,0.197702335341898,0.223025437838734,"Patients-Contact","Contact precaution"
6,0.243902324095268,0.23176197675203,0.255714094307246,"Patients-Duration","Contact precaution"
6,0.29576278865145,0.285481169345074,0.305990032872464,"Staff-Both","Contact precaution"
6,0.323696326406383,0.312864961293886,0.334179143613614,"Staff-Contact","Contact precaution"
6,0.290935105208912,0.279013270880252,0.302481105720899,"Staff-Duration","Contact precaution"
