"scenario","val","lower","upper","group","inter"
2,-6.04814854471002e-05,-0.0107117295420909,0.0106415337666512,"Both-Both","Contact precaution"
2,-0.0427671123895153,-0.0553786350302926,-0.0303672721507039,"Both-Contact","Contact precaution"
2,-0.0113127240548043,-0.0238220565122997,-1.04959422112532e-05,"Both-Duration","Contact precaution"
2,-0.0279598322934161,-0.0414871488984934,-0.0157256545510878,"Patients-Both","Contact precaution"
2,-0.0340954317146088,-0.0469870598302178,-0.0223023611974645,"Patients-Contact","Contact precaution"
2,-0.0445799090085282,-0.0570061947352751,-0.0312880728125707,"Patients-Duration","Contact precaution"
2,5.35870392950003e-06,-0.0097007673656339,0.0119407991651165,"Staff-Both","Contact precaution"
2,-0.00433199818180047,-0.0158367673355341,0.00629982396527241,"Staff-Contact","Contact precaution"
2,-0.0183208307251734,-0.0310135858381997,-0.0062465805777193,"Staff-Duration","Contact precaution"
4,-0.00926795752592398,-0.0213620374501186,5.43772651814466e-05,"Both-Both","Contact precaution"
4,0.0117413744598969,4.79807667613939e-05,0.0235307994726215,"Both-Contact","Contact precaution"
4,-0.0223959666289857,-0.0353866810454828,-0.0101357085800396,"Both-Duration","Contact precaution"
4,0.0021065719843682,-0.00883231425631936,0.0139049313637148,"Patients-Both","Contact precaution"
4,-0.0158349259015695,-0.0277996363698603,-0.00434614140530292,"Patients-Contact","Contact precaution"
4,-0.0107294720458313,-0.0228364310950289,-2.28061485057491e-05,"Patients-Duration","Contact precaution"
4,-0.0134259447657363,-0.0259083534719284,-0.00250910189098315,"Staff-Both","Contact precaution"
4,-0.00973176629641324,-0.0216563001735329,2.03175166220588e-05,"Staff-Contact","Contact precaution"
4,-0.0117058561602695,-0.0237789184040645,-1.20236327133241e-05,"Staff-Duration","Contact precaution"
6,-0.00885753057131015,-0.0208848003427678,0.00131220349648371,"Both-Both","Contact precaution"
6,0.0242378285367878,0.0125356642595876,0.0356670274492132,"Both-Contact","Contact precaution"
6,-0.0318379790266776,-0.0449875977058307,-0.0192965599621195,"Both-Duration","Contact precaution"
6,-0.00974107998383317,-0.0219149378462649,2.35481990963343e-05,"Patients-Both","Contact precaution"
6,-0.0237263762588866,-0.0357030923963478,-0.0115071627440309,"Patients-Contact","Contact precaution"
6,0.00480857713958097,-0.00598162327212645,0.0166476268085089,"Patients-Duration","Contact precaution"
6,-0.0187000914447911,-0.0312301543114784,-0.00660226836187937,"Staff-Both","Contact precaution"
6,0.0166080661112888,0.0049643535772679,0.028088536722322,"Staff-Contact","Contact precaution"
6,-5.25136344747293e-05,-0.0118845614703527,0.00950572390176065,"Staff-Duration","Contact precaution"
8,0.0119173674932269,3.7864895917333e-05,0.0242500912385873,"Both-Both","Contact precaution"
8,0.029322803122572,0.0174078837456397,0.0417012485965949,"Both-Contact","Contact precaution"
8,-0.0229102850386495,-0.035403030514268,-0.010691421569042,"Both-Duration","Contact precaution"
8,-0.0142798900765635,-0.0267314426704073,-0.00325983601985463,"Patients-Both","Contact precaution"
8,0.00491103051561466,-0.00618757095158192,0.0167000826141203,"Patients-Contact","Contact precaution"
8,0.0140891172282916,0.00219764158102293,0.0263282062571822,"Patients-Duration","Contact precaution"
8,0.0230140874517585,0.0107359245294494,0.0350755432866001,"Staff-Both","Contact precaution"
8,0.0164400287815732,0.00418549149625688,0.0278086642082406,"Staff-Contact","Contact precaution"
8,-0.0288403746097443,-0.0416518439531795,-0.0166738936149982,"Staff-Duration","Contact precaution"
10,-0.00142967957134617,-0.0124822826019836,0.00924065810558415,"Both-Both","Contact precaution"
10,0.008392998373458,-0.00191825894878307,0.0200295214733421,"Both-Contact","Contact precaution"
10,0.00756385368578784,-0.00334610797716331,0.0199255906083342,"Both-Duration","Contact precaution"
10,-0.00331523223293438,-0.0144797056039642,0.0071160073201117,"Patients-Both","Contact precaution"
10,-6.37392255147988e-05,-0.0119021449693367,0.0100589912059932,"Patients-Contact","Contact precaution"
10,0.0189420729173213,0.00716683296182019,0.0307477530427307,"Patients-Duration","Contact precaution"
10,0.0262384541685131,0.0146360772028828,0.038082842579903,"Staff-Both","Contact precaution"
10,0.0149648380833742,0.00281676715924327,0.0272570518509762,"Staff-Contact","Contact precaution"
10,-0.0194960242892658,-0.0317414846796189,-0.00757725257236595,"Staff-Duration","Contact precaution"
