"scenario","val","lower","upper","group","inter"
2,0.0350094369546694,0.0256522038537273,0.043369492325831,"Both-Both","Contact precaution"
2,0.0375130023137155,0.0281367340597517,0.0461698824251097,"Both-Contact","Contact precaution"
2,0.0343766691572328,0.0249323689321325,0.0424800467185763,"Both-Duration","Contact precaution"
2,0.025777377378376,0.0172125522783108,0.0356877563422182,"Patients-Both","Contact precaution"
2,0.01580205769203,0.00641597579388692,0.0242898025074123,"Patients-Contact","Contact precaution"
2,0.042682734795435,0.0348621168735709,0.051284345627756,"Patients-Duration","Contact precaution"
2,0.0371426404741173,0.0280326120895033,0.0454869373273339,"Staff-Both","Contact precaution"
2,0.0438353232422103,0.03568022159736,0.0530642448616055,"Staff-Contact","Contact precaution"
2,0.0216323291454679,0.0133573633585531,0.0305735703272767,"Staff-Duration","Contact precaution"
4,0.0571743161579647,0.0477531457352353,0.0652060940767967,"Both-Both","Contact precaution"
4,0.0749907484047189,0.0661473056099402,0.0832956396397283,"Both-Contact","Contact precaution"
4,0.0633449668382626,0.055058685401123,0.071749230522221,"Both-Duration","Contact precaution"
4,0.0484761745618931,0.0400566985689726,0.0577263603809099,"Patients-Both","Contact precaution"
4,0.0661940311061194,0.0578429310194063,0.0747852579380477,"Patients-Contact","Contact precaution"
4,0.0874553085060145,0.079208887231599,0.0957686086416746,"Patients-Duration","Contact precaution"
4,0.0951785735105493,0.086791099566414,0.103316554254312,"Staff-Both","Contact precaution"
4,0.111155822873463,0.102997714913564,0.119794494658345,"Staff-Contact","Contact precaution"
4,0.0833227256842551,0.0742242199889599,0.0914610790649116,"Staff-Duration","Contact precaution"
6,0.0615650680831286,0.0528873596284449,0.0697755744702799,"Both-Both","Contact precaution"
6,0.0967019287317453,0.0880233934474438,0.105405136187169,"Both-Contact","Contact precaution"
6,0.0760591994551429,0.06707933245044,0.0844162169937596,"Both-Duration","Contact precaution"
6,0.101197936002937,0.0929257030027443,0.1097970749268,"Patients-Both","Contact precaution"
6,0.0610061735328228,0.0523946477227187,0.06933206126371,"Patients-Contact","Contact precaution"
6,0.114387561185489,0.106328881809594,0.122232540218878,"Patients-Duration","Contact precaution"
6,0.0960928512215567,0.0878728996863849,0.104150287534938,"Staff-Both","Contact precaution"
6,0.132845946500725,0.124963868337773,0.14101704100824,"Staff-Contact","Contact precaution"
6,0.0916312042575169,0.0836654195245249,0.0999740734351693,"Staff-Duration","Contact precaution"
8,0.0583046751553575,0.0487694630783559,0.0663411101519003,"Both-Both","Contact precaution"
8,0.0999893779895721,0.0914265334539066,0.108251183978531,"Both-Contact","Contact precaution"
8,0.0861046656408018,0.0779283774902259,0.0941373197700163,"Both-Duration","Contact precaution"
8,0.105319654356281,0.0972177398036382,0.113640371310256,"Patients-Both","Contact precaution"
8,0.0637997447876577,0.0557231016306893,0.0722237684458934,"Patients-Contact","Contact precaution"
8,0.12331128607007,0.115204130515176,0.131383838683851,"Patients-Duration","Contact precaution"
8,0.0984354126468061,0.0898604799868414,0.106604839906264,"Staff-Both","Contact precaution"
8,0.122771486948523,0.11408063838266,0.131062214806438,"Staff-Contact","Contact precaution"
8,0.0869568817018503,0.0782944256412008,0.0953284038082658,"Staff-Duration","Contact precaution"
10,0.0770392450797271,0.0682604907179463,0.085266373962403,"Both-Both","Contact precaution"
10,0.104100488841099,0.0952381865905736,0.112079997876127,"Both-Contact","Contact precaution"
10,0.110289573154798,0.101825491013975,0.11866986698173,"Both-Duration","Contact precaution"
10,0.112528694951408,0.103965177218171,0.120946459771452,"Patients-Both","Contact precaution"
10,0.0433179664242379,0.035101200846008,0.0523063735774585,"Patients-Contact","Contact precaution"
10,0.133369368534828,0.125028667636513,0.141660190630697,"Patients-Duration","Contact precaution"
10,0.11064857020684,0.101922632432495,0.118840332405264,"Staff-Both","Contact precaution"
10,0.128428316927775,0.120272049986109,0.136791985287839,"Staff-Contact","Contact precaution"
10,0.0875793316348354,0.0790690305465536,0.0961091234482558,"Staff-Duration","Contact precaution"
