"scenario","val","lower","upper","pval","group","inter"
2,0.0494564050962988,0.0421911229487596,0.056670547299467,3.11744025878344e-37,"Both-Both","Contact precaution"
2,0.0608722877889789,0.0539570079823015,0.0677089729056375,1.14231420736574e-58,"Both-Contact","Contact precaution"
2,0.0572679933614724,0.050056850426558,0.0643259975939042,1.58015243871793e-49,"Both-Duration","Contact precaution"
2,0.0617859516767303,0.0550490101391961,0.0683863491310496,6.75444527912776e-63,"Patients-Both","Contact precaution"
2,0.0521586610350707,0.0449747674254063,0.0593806676023999,1.00475127324071e-42,"Patients-Contact","Contact precaution"
2,0.0676963591141932,0.0606869418428163,0.0747095748569917,4.32949294397879e-68,"Patients-Duration","Contact precaution"
2,0.0782139223476543,0.071202551173558,0.0850170953908309,1.89875288722109e-90,"Staff-Both","Contact precaution"
2,0.0930403106812091,0.0863312389029278,0.0997717077638768,2.91034604674818e-126,"Staff-Contact","Contact precaution"
2,0.0928713682463148,0.0863608829263749,0.0995158130673011,3.11729469982807e-128,"Staff-Duration","Contact precaution"
4,0.0763662198597154,0.0695033081672433,0.0834136002436913,1.27935384330108e-84,"Both-Both","Contact precaution"
4,0.103190524206246,0.0965450422174047,0.109708671477017,5.45879425885646e-152,"Both-Contact","Contact precaution"
4,0.111311364017678,0.104922591908268,0.117623067851117,3.90525627842833e-171,"Both-Duration","Contact precaution"
4,0.0839275959381988,0.0770888690839341,0.0908117046466955,1.81106288852745e-102,"Patients-Both","Contact precaution"
4,0.086217317431265,0.0795179938993783,0.0927378829404577,4.26040330923988e-115,"Patients-Contact","Contact precaution"
4,0.0988052033821616,0.0921668921311626,0.105472915949675,3.00714700186373e-140,"Patients-Duration","Contact precaution"
4,0.114719741023172,0.108220331957721,0.121214853047868,5.36372978398703e-181,"Staff-Both","Contact precaution"
4,0.127370295870001,0.120561166343938,0.134116639107537,3.79284418754218e-195,"Staff-Contact","Contact precaution"
4,0.119665407621948,0.113054500215558,0.126238062549804,1.52086643477049e-187,"Staff-Duration","Contact precaution"
6,0.0967914957128781,0.0899953529620497,0.103461981633979,1.18588011295737e-133,"Both-Both","Contact precaution"
6,0.119130408868363,0.112469620843621,0.125910634983479,4.8927199012121e-184,"Both-Contact","Contact precaution"
6,0.0978683702953472,0.0907706486616257,0.104812995726757,1.22541058394549e-133,"Both-Duration","Contact precaution"
6,0.107260835115917,0.100357419314472,0.114006148738251,4.0288558963611e-150,"Patients-Both","Contact precaution"
6,0.0758875546892874,0.0689752107670704,0.0826926709955466,1.04561357817818e-86,"Patients-Contact","Contact precaution"
6,0.117281848163701,0.11068138892399,0.123774536453911,1.54507496488107e-185,"Patients-Duration","Contact precaution"
6,0.138718684138979,0.1324397605428,0.144877658245209,1.28035895170356e-248,"Staff-Both","Contact precaution"
6,0.157303483728797,0.15079617442824,0.16375540505137,6.81460093906266e-269,"Staff-Contact","Contact precaution"
6,0.143180931076585,0.136643838425935,0.14973294965211,1.1458199605706e-243,"Staff-Duration","Contact precaution"
