"scenario","val","lower","upper","group","inter"
2,0.0114001104174465,0.0041842508257611,0.0178433907802902,"Both-Both","Contact precaution"
2,0.0222572691925569,0.0154109815830084,0.0284805352829243,"Both-Contact","Contact precaution"
2,0.0146926786143444,0.00848916711945568,0.0218504711291252,"Both-Duration","Contact precaution"
2,-0.00775576308937271,-0.0146725340829924,-0.00142649616295226,"Patients-Both","Contact precaution"
2,0.00808422261885896,0.0012032069315505,0.0141002671227537,"Patients-Contact","Contact precaution"
2,0.0295557863836072,0.02359525211179,0.0364994873456195,"Patients-Duration","Contact precaution"
2,0.0188886901924371,0.012466736174766,0.0257982104386244,"Staff-Both","Contact precaution"
2,0.0212877538567574,0.014354804263761,0.0278045465077195,"Staff-Contact","Contact precaution"
2,0.0191693389259296,0.0126973193752705,0.0262062660067981,"Staff-Duration","Contact precaution"
4,0.0233556449223989,0.0163184713527326,0.0294334562757074,"Both-Both","Contact precaution"
4,0.0485530577768217,0.0421337899101177,0.0548748435280995,"Both-Contact","Contact precaution"
4,0.0326103133819236,0.0265260889853265,0.0395481341071157,"Both-Duration","Contact precaution"
4,0.0226560772858045,0.0154361047125302,0.028515262529209,"Patients-Both","Contact precaution"
4,0.0247786078371875,0.0180893857467542,0.0305652487147309,"Patients-Contact","Contact precaution"
4,0.0641191865462389,0.0575732271801502,0.0705527692380434,"Patients-Duration","Contact precaution"
4,0.0260921972534304,0.0190323161378101,0.0321601491989898,"Staff-Both","Contact precaution"
4,0.0638898167071404,0.0573414984544744,0.0703330018436733,"Staff-Contact","Contact precaution"
4,0.0487862675878106,0.0421150325026687,0.0554011438755417,"Staff-Duration","Contact precaution"
6,0.0268566564495513,0.0202186063561585,0.0331231218849461,"Both-Both","Contact precaution"
6,0.0643763925470781,0.057982474603208,0.0707697761917987,"Both-Contact","Contact precaution"
6,0.0250304490987326,0.0181962129332304,0.0310039931962115,"Both-Duration","Contact precaution"
6,0.036992543576433,0.0300742191685308,0.0429265629646975,"Patients-Both","Contact precaution"
6,0.0227798316623739,0.0154921270251581,0.029003806641336,"Patients-Contact","Contact precaution"
6,0.0801054678709291,0.0736431424543532,0.0861493667038714,"Patients-Duration","Contact precaution"
6,0.0381538062146453,0.0308606101470659,0.0444508598757832,"Staff-Both","Contact precaution"
6,0.070151231958129,0.0638465301016329,0.0764552029169437,"Staff-Contact","Contact precaution"
6,0.072944924354001,0.0667165970153684,0.0795038423300267,"Staff-Duration","Contact precaution"
8,0.0190675059592152,0.0125126618124663,0.0262013670654522,"Both-Both","Contact precaution"
8,0.0571726884606718,0.0508295111590393,0.0635152164817277,"Both-Contact","Contact precaution"
8,0.034382888141713,0.0280700969722486,0.041381068396054,"Both-Duration","Contact precaution"
8,0.0495664525225196,0.0431972702504567,0.055884126519405,"Patients-Both","Contact precaution"
8,0.0405004125699874,0.0339711572656328,0.0459518855624337,"Patients-Contact","Contact precaution"
8,0.0801445356405552,0.0737087915396497,0.0862726486770057,"Patients-Duration","Contact precaution"
8,0.040452726966533,0.0333613167951911,0.0465892501704304,"Staff-Both","Contact precaution"
8,0.0606196349273344,0.0541541283074795,0.0675007318255844,"Staff-Contact","Contact precaution"
8,0.0466791344069551,0.0403741488964575,0.0537109914236414,"Staff-Duration","Contact precaution"
10,0.0298872634681416,0.0240864490818071,0.0367510746209643,"Both-Both","Contact precaution"
10,0.0520879941507077,0.0451316660222717,0.0579108490142836,"Both-Contact","Contact precaution"
10,0.0587130240531379,0.0524489138767977,0.0652053611008438,"Both-Duration","Contact precaution"
10,0.0467473925423704,0.0408384015895863,0.0537121526374661,"Patients-Both","Contact precaution"
10,0.0353904466194991,0.0288355951901296,0.0420469725863799,"Patients-Contact","Contact precaution"
10,0.0891434927050412,0.0825998129695497,0.0955954425560802,"Patients-Duration","Contact precaution"
10,0.0378809443942405,0.0309687834502438,0.0442950816070161,"Staff-Both","Contact precaution"
10,0.068730880482683,0.0621704580302077,0.0748742048366601,"Staff-Contact","Contact precaution"
10,0.0541726810037681,0.0476634802225966,0.0603106324498462,"Staff-Duration","Contact precaution"
