"scenario","val","lower","upper","pval","group","inter"
2,0.0531237683461497,0.0482362287253426,0.0579179147258506,1.55867461558319e-90,"Both-Both","Contact precaution"
2,0.0720025866704157,0.0673504551928578,0.0766706316965849,2.9901346382429e-168,"Both-Contact","Contact precaution"
2,0.0584306607584683,0.0537093941012983,0.0631314199972762,8.29617273157014e-112,"Both-Duration","Contact precaution"
2,0.0713211790432294,0.0667607840065725,0.0759157173773655,6.31783902704303e-169,"Patients-Both","Contact precaution"
2,0.0626915909478988,0.057930493511959,0.0674239365553854,3.51001142043529e-125,"Patients-Contact","Contact precaution"
2,0.0634621934214707,0.0587970987065625,0.0681999590115456,1.46387814902295e-132,"Patients-Duration","Contact precaution"
2,0.0714970746052876,0.0669235106367328,0.0760282661909274,1.46411437780351e-170,"Staff-Both","Contact precaution"
2,0.071725433108641,0.0669839110179751,0.0764571455459065,9.98859269775051e-162,"Staff-Contact","Contact precaution"
2,0.0799099248073757,0.0751331558911852,0.0846744975246396,7.28665390000898e-193,"Staff-Duration","Contact precaution"
4,0.0770510164520326,0.0722677779614272,0.0818058631699953,1.80614076929238e-181,"Both-Both","Contact precaution"
4,0.111705357490462,0.107164672370429,0.116253362808961,0,"Both-Contact","Contact precaution"
4,0.102712401578496,0.0980629164332883,0.107355156605563,8.60274283123696e-290,"Both-Duration","Contact precaution"
4,0.0962230118952574,0.0917425762249758,0.10075276498616,9.87484048862843e-275,"Patients-Both","Contact precaution"
4,0.0868123899633467,0.0821768888234429,0.0914095361264125,3.2839921383566e-224,"Patients-Contact","Contact precaution"
4,0.110899078288616,0.106241082925427,0.115419928879146,0,"Patients-Duration","Contact precaution"
4,0.118183625416067,0.113626257168222,0.122688275672635,0,"Staff-Both","Contact precaution"
4,0.126485808278646,0.121969826725498,0.130998728949193,0,"Staff-Contact","Contact precaution"
4,0.131825426040704,0.127302943228357,0.13637845129422,0,"Staff-Duration","Contact precaution"
6,0.0992429013954408,0.0946072869812992,0.103786696781502,3.86204780029395e-285,"Both-Both","Contact precaution"
6,0.119527844895326,0.11512860737748,0.12389729721551,0,"Both-Contact","Contact precaution"
6,0.120310733615965,0.115744622701881,0.124896183515835,0,"Both-Duration","Contact precaution"
6,0.113460102962933,0.108880506429107,0.118029839357317,0,"Patients-Both","Contact precaution"
6,0.0950949576313811,0.0904085746818844,0.0996956748076108,3.94912477944462e-257,"Patients-Contact","Contact precaution"
6,0.126329335365642,0.121756359248495,0.130920276136369,0,"Patients-Duration","Contact precaution"
6,0.139320375272915,0.134566877376411,0.144035475519602,0,"Staff-Both","Contact precaution"
6,0.138402675755029,0.133996540609278,0.142766229969902,0,"Staff-Contact","Contact precaution"
6,0.138079248780467,0.133576492347818,0.142562834667245,0,"Staff-Duration","Contact precaution"
