"scenario","val","lower","upper","pval","group","inter"
2,-0.00836291862425785,-0.0333496097817261,0.0146772194539049,0.48439870418408,"Both-Both","Contact precaution"
2,0.0636990929971403,0.0409747777260371,0.0861175600383321,4.86115571116098e-08,"Both-Contact","Contact precaution"
2,0.035684098364433,0.0120381835465881,0.0594739864948857,0.00248243590130332,"Both-Duration","Contact precaution"
2,0.0180938652297659,-0.00333419055666839,0.0415931457788313,0.102216265274525,"Patients-Both","Contact precaution"
2,-0.0109119171179736,-0.0356526147819145,0.0117609408781404,0.356939184869987,"Patients-Contact","Contact precaution"
2,-7.50369948723236e-05,-0.0228380156556657,0.0215485186293551,0.959897945705477,"Patients-Duration","Contact precaution"
2,0.0777948143107191,0.0555472861334052,0.0999559221009756,8.21130053023781e-12,"Staff-Both","Contact precaution"
2,0.0872810969565067,0.0656850382876739,0.108995864082558,2.16173764505033e-14,"Staff-Contact","Contact precaution"
2,0.0510204179700757,0.0268025573341244,0.0748269938694549,2.25075520860366e-05,"Staff-Duration","Contact precaution"
4,0.0720716698022431,0.0479590758935447,0.0952853559484429,4.81440533789248e-09,"Both-Both","Contact precaution"
4,0.102982034662853,0.0801000189200079,0.125090367997745,1.74678085431745e-17,"Both-Contact","Contact precaution"
4,0.0749747880647105,0.0515418363702004,0.0966029334403338,1.97006365031271e-10,"Both-Duration","Contact precaution"
4,0.0771081544464885,0.0534883840301409,0.100005321340428,1.53302838751921e-10,"Patients-Both","Contact precaution"
4,0.027508124863551,0.00571593704752662,0.0499898301697955,0.0122472817979507,"Patients-Contact","Contact precaution"
4,0.040189432654337,0.0176444096307833,0.0624620962588556,0.000339467547545389,"Patients-Duration","Contact precaution"
4,0.135638115185122,0.116621430060426,0.154775705857278,2.71791251357026e-36,"Staff-Both","Contact precaution"
4,0.100020704285184,0.0789159710824704,0.121762247579343,1.90738973192579e-18,"Staff-Contact","Contact precaution"
4,0.107116804190294,0.0833684860633235,0.128164169054321,1.25515956566363e-19,"Staff-Duration","Contact precaution"
6,0.036913386446841,0.0138264947791207,0.0606535108665651,0.00159243530259552,"Both-Both","Contact precaution"
6,0.107385519935051,0.0838136396459227,0.130021124826144,2.78547612241505e-19,"Both-Contact","Contact precaution"
6,0.0813009761506761,0.0580936528206292,0.102705328129255,5.45890682200346e-12,"Both-Duration","Contact precaution"
6,0.0401905815971389,0.0166283244450899,0.0641924463335939,0.000852841549488879,"Patients-Both","Contact precaution"
6,0.0545366810953906,0.0302735839221013,0.0769677532742704,5.16895772170758e-06,"Patients-Contact","Contact precaution"
6,0.0601362004188462,0.0369560545886904,0.0830468685545059,3.54228298791469e-07,"Patients-Duration","Contact precaution"
6,0.143052741179731,0.121514205066085,0.164299224139025,1.01181012489198e-33,"Staff-Both","Contact precaution"
6,0.183240996041406,0.163180941112439,0.201899918658286,1.19014386788111e-60,"Staff-Contact","Contact precaution"
6,0.100085508813063,0.078609466673503,0.121148865301602,2.74502001738651e-18,"Staff-Duration","Contact precaution"
