"scenario","val","lower","upper","pval","group","inter"
2,0.0139744658590857,7.3791210527297e-06,0.0279567170680834,0.0359458267799234,"Both-Both","Contact precaution"
2,0.0452744582823273,0.0303073514770082,0.0595524743695968,1.45980038291645e-09,"Both-Contact","Contact precaution"
2,0.0194181928321755,0.00578244689458289,0.0333845041300104,0.00476310896662341,"Both-Duration","Contact precaution"
2,0.0140479240524125,6.53460356620796e-05,0.0281837953281246,0.0408205995268468,"Patients-Both","Contact precaution"
2,-0.022760228721107,-0.0379462372723978,-0.00850352005530313,0.00108626393928247,"Patients-Contact","Contact precaution"
2,0.00512136236139808,-0.00811907646328151,0.0182380662529909,0.449191363811787,"Patients-Duration","Contact precaution"
2,0.0605408887706239,0.0457096470774989,0.0749971863895375,3.02739671301838e-16,"Staff-Both","Contact precaution"
2,0.0808039863088933,0.0666677505486927,0.093992700285535,6.82613614268795e-29,"Staff-Contact","Contact precaution"
2,0.0461244251231405,0.0315382140010882,0.0605071986468824,1.86806333641181e-10,"Staff-Duration","Contact precaution"
4,0.0357252715121634,0.0219561052294692,0.050045277945395,3.43629716101911e-07,"Both-Both","Contact precaution"
4,0.0481325139242938,0.0338040771565416,0.0620024969855111,7.62509104165533e-12,"Both-Contact","Contact precaution"
4,0.0520690762807934,0.037409308804179,0.0666128458337933,2.02077148727845e-12,"Both-Duration","Contact precaution"
4,0.0431718575382899,0.0286277117896088,0.0582938005167837,2.5392167018638e-09,"Patients-Both","Contact precaution"
4,0.0277315955205694,0.0132037245568687,0.0419799191674087,0.000112297301739536,"Patients-Contact","Contact precaution"
4,0.0590188248407588,0.0439322720951767,0.0735516464905967,2.32111207276835e-15,"Patients-Duration","Contact precaution"
4,0.118180517913962,0.104396497135535,0.132220755756569,3.73548504248481e-57,"Staff-Both","Contact precaution"
4,0.0980744578423333,0.0833871684409615,0.111377189524649,2.32024657616174e-40,"Staff-Contact","Contact precaution"
4,0.0937622234055228,0.0794115952662543,0.107615315414567,1.38392178390723e-34,"Staff-Duration","Contact precaution"
6,0.0230718510802506,0.00892538003191174,0.0372592015784295,0.0010799214215418,"Both-Both","Contact precaution"
6,0.11509697969777,0.100874968983839,0.128811135010521,1.71718568484037e-53,"Both-Contact","Contact precaution"
6,0.0833140713514098,0.0686483488249891,0.0965289741259079,3.30499240164863e-29,"Both-Duration","Contact precaution"
6,0.0485132620496021,0.0336426114198248,0.0624699719197837,2.78828632074927e-12,"Patients-Both","Contact precaution"
6,0.0416596014953901,0.0271262429172416,0.0553312665906293,5.72374726052121e-09,"Patients-Contact","Contact precaution"
6,0.0687880672792612,0.0543196272660877,0.0833898155537674,1.17765167879579e-19,"Patients-Duration","Contact precaution"
6,0.1105878610338,0.0973784092904738,0.123834218652007,2.82419442530635e-55,"Staff-Both","Contact precaution"
6,0.124982012376333,0.111062805013317,0.138478689844793,2.53851341283606e-62,"Staff-Contact","Contact precaution"
6,0.117819831876703,0.104189215571951,0.131571521142648,6.52177622596943e-56,"Staff-Duration","Contact precaution"
