"scenario","val","lower","upper","group","inter"
2,0.109998532979811,0.0982983235629945,0.121341726699874,"Both-Both","Vaccination"
2,0.0522787689965272,0.0401005681522784,0.0644245206528899,"Both-Contact","Vaccination"
2,0.140707935865843,0.130204439093485,0.151337015486535,"Both-Duration","Vaccination"
2,0.14377842064372,0.133320369521033,0.154572132869718,"Patients-Both","Vaccination"
2,0.152402216892244,0.140843551942264,0.163264325918226,"Patients-Contact","Vaccination"
2,0.204091957991314,0.19354132081576,0.214237716042616,"Patients-Duration","Vaccination"
2,0.0604973835236463,0.0491440306726827,0.0726121583094714,"Staff-Both","Vaccination"
2,0.0530389562059565,0.0411101152237077,0.0651012071369243,"Staff-Contact","Vaccination"
2,0.0473166833848967,0.0343367851839958,0.0583892363300087,"Staff-Duration","Vaccination"
4,0.207716252418512,0.197871079601722,0.21687595292807,"Both-Both","Vaccination"
4,0.105990467450582,0.0949334516503406,0.116667460629416,"Both-Contact","Vaccination"
4,0.238550228170953,0.229141654367593,0.248127508334653,"Both-Duration","Vaccination"
4,0.256305881279108,0.246826310309535,0.265183044358941,"Patients-Both","Vaccination"
4,0.255592852735595,0.246004090212606,0.264959296446738,"Patients-Contact","Vaccination"
4,0.333312531780938,0.325001116406484,0.34147708429742,"Patients-Duration","Vaccination"
4,0.0980810210599457,0.0864809706917807,0.110068317353857,"Staff-Both","Vaccination"
4,0.106268849029706,0.0944092934067055,0.117924599827824,"Staff-Contact","Vaccination"
4,0.122950613405865,0.111164312917731,0.134342184133342,"Staff-Duration","Vaccination"
6,0.230981998604908,0.221578310006874,0.24034128118833,"Both-Both","Vaccination"
6,0.120824932270956,0.10929521091149,0.132218253346745,"Both-Contact","Vaccination"
6,0.281492625064334,0.272411161216932,0.29032467072695,"Both-Duration","Vaccination"
6,0.29962179007108,0.291652535656026,0.30788622755181,"Patients-Both","Vaccination"
6,0.311140331482381,0.302586840217963,0.319321751501682,"Patients-Contact","Vaccination"
6,0.377779923366793,0.370503434614321,0.385348449445204,"Patients-Duration","Vaccination"
6,0.149314999879311,0.1381069290492,0.159963882562222,"Staff-Both","Vaccination"
6,0.134619940043652,0.123675388445022,0.145823980361277,"Staff-Contact","Vaccination"
6,0.126699864514494,0.11523384599219,0.138046595213412,"Staff-Duration","Vaccination"
8,0.236417350801326,0.226577413960986,0.245908299889306,"Both-Both","Vaccination"
8,0.133843960694082,0.12258394599163,0.145394339320594,"Both-Contact","Vaccination"
8,0.296437358733816,0.287473857047272,0.305547603194221,"Both-Duration","Vaccination"
8,0.295519545626329,0.287073682490915,0.304023014002348,"Patients-Both","Vaccination"
8,0.323916120189101,0.315542327905315,0.3322703286545,"Patients-Contact","Vaccination"
8,0.408368565257341,0.401489245828147,0.416415812935284,"Patients-Duration","Vaccination"
8,0.118120934647163,0.106980896707535,0.129276658498295,"Staff-Both","Vaccination"
8,0.127441115654417,0.116027827304233,0.138709246419512,"Staff-Contact","Vaccination"
8,0.117870471993445,0.107121189019966,0.129120624218281,"Staff-Duration","Vaccination"
10,0.246418631718601,0.237026219651148,0.255673386694899,"Both-Both","Vaccination"
10,0.158279011288241,0.14715618282473,0.168695927605298,"Both-Contact","Vaccination"
10,0.150039998717652,0.139134831485545,0.160553469073235,"Both-Duration","Vaccination"
10,0.313531003072889,0.305117857546622,0.322051159831607,"Patients-Both","Vaccination"
10,0.343771201700027,0.335743712360981,0.351939773084211,"Patients-Contact","Vaccination"
10,0.427173881447579,0.419439937374398,0.434132531115891,"Patients-Duration","Vaccination"
10,0.133309839753643,0.122145602245496,0.143836905873399,"Staff-Both","Vaccination"
10,0.143388788570213,0.13251834231199,0.154740109556362,"Staff-Contact","Vaccination"
10,0.149992227545415,0.138627271355605,0.160874737673959,"Staff-Duration","Vaccination"
