"scenario","val","lower","upper","group","inter"
2,0.0269228517458768,0.0182768339720393,0.0361649939740768,"Both-Both","Vaccination"
2,0.0164791102200371,0.00708207887139675,0.0250628563833127,"Both-Contact","Vaccination"
2,0.0583769700220706,0.049435782204459,0.0667456726865403,"Both-Duration","Vaccination"
2,0.0551777303029033,0.0459060370496146,0.0634935857020728,"Patients-Both","Vaccination"
2,0.0534937540051915,0.0444652435926771,0.0620145535995389,"Patients-Contact","Vaccination"
2,0.101760917132627,0.0932869038718206,0.110102978176378,"Patients-Duration","Vaccination"
2,0.0211883963208029,0.0128105244133749,0.0305236497549585,"Staff-Both","Vaccination"
2,0.0017456641489351,-0.00543598167987203,0.0104511686447387,"Staff-Contact","Vaccination"
2,0.0138436729537014,0.00440725252278288,0.0224148995944854,"Staff-Duration","Vaccination"
4,0.0766549480699938,0.0677629620843745,0.0850381787753896,"Both-Both","Vaccination"
4,0.0318522014985829,0.0225720097320607,0.0405508643133563,"Both-Contact","Vaccination"
4,0.122977463859068,0.114937588198916,0.131076319438779,"Both-Duration","Vaccination"
4,0.128348397132464,0.120073905547055,0.13662520935085,"Patients-Both","Vaccination"
4,0.113725145828867,0.105965584112646,0.121862921777223,"Patients-Contact","Vaccination"
4,0.191660296173959,0.184132568773526,0.199132469836575,"Patients-Duration","Vaccination"
4,0.0416450056840939,0.0330323105992601,0.0500266071614488,"Staff-Both","Vaccination"
4,0.0287164074237626,0.0198793857012862,0.0378688337616099,"Staff-Contact","Vaccination"
4,0.0400241957798653,0.0309073805426312,0.0484630509774706,"Staff-Duration","Vaccination"
6,0.0816865420552321,0.0733743064267127,0.0901603643229345,"Both-Both","Vaccination"
6,0.0650143645741799,0.056962332257709,0.0737186290969867,"Both-Contact","Vaccination"
6,0.133257954412576,0.125030057796713,0.141560605542824,"Both-Duration","Vaccination"
6,0.153900244037695,0.145906673343951,0.161427241734831,"Patients-Both","Vaccination"
6,0.112430420018748,0.104162639851044,0.12082278006909,"Patients-Contact","Vaccination"
6,0.2104416122101,0.203505498420273,0.217328922081087,"Patients-Duration","Vaccination"
6,0.0275687408699289,0.0190793378240857,0.0363709241886614,"Staff-Both","Vaccination"
6,0.0444274602936873,0.0361715203521425,0.0531552378385599,"Staff-Contact","Vaccination"
6,0.0592450736501318,0.0503051909752325,0.0675702815261883,"Staff-Duration","Vaccination"
8,0.0940495209477765,0.085482258686038,0.102620032648567,"Both-Both","Vaccination"
8,0.0582441378688458,0.048969237237007,0.0666236247623191,"Both-Contact","Vaccination"
8,0.152551030495584,0.144528042648826,0.160394146536888,"Both-Duration","Vaccination"
8,0.161444826878719,0.153431838456145,0.169566073851367,"Patients-Both","Vaccination"
8,0.123328907628062,0.11513718169825,0.13113097994262,"Patients-Contact","Vaccination"
8,0.20982602815144,0.202392477288913,0.21686884149415,"Patients-Duration","Vaccination"
8,0.0565075083048677,0.0470902453150873,0.0652625257380987,"Staff-Both","Vaccination"
8,0.039966344905874,0.030911214833037,0.0477598510365026,"Staff-Contact","Vaccination"
8,0.0487206754469535,0.0404110120840041,0.0580410793946312,"Staff-Duration","Vaccination"
10,0.103234438060559,0.0948106287783109,0.111367105719356,"Both-Both","Vaccination"
10,0.0733606049113637,0.0644719917348016,0.0818708761976906,"Both-Contact","Vaccination"
10,0.0523915345786971,0.0433494018205943,0.0612387158813,"Both-Duration","Vaccination"
10,0.158344514786329,0.150430332596547,0.166138583529677,"Patients-Both","Vaccination"
10,0.144524459102595,0.13662724863392,0.152461368992375,"Patients-Contact","Vaccination"
10,0.225295196796972,0.218505770564676,0.232180421970591,"Patients-Duration","Vaccination"
10,0.0567572558748,0.0475860408960569,0.0650334359782102,"Staff-Both","Vaccination"
10,0.049097793512808,0.0407134873104163,0.058333209079824,"Staff-Contact","Vaccination"
10,0.0747774336665687,0.0662297900198811,0.0827235681504842,"Staff-Duration","Vaccination"
