"scenario","val","lower","upper","group","inter"
2,0.030287898379161,0.0179003758264445,0.0417441324260284,"Both-Both","Vaccination"
2,1.38309939483103e-05,-0.00883186615494578,0.0133784219983417,"Both-Contact","Vaccination"
2,0.0731802854991009,0.0619473229784214,0.0854076684770026,"Both-Duration","Vaccination"
2,0.050708457004742,0.0378340857197692,0.0643225420087224,"Patients-Both","Vaccination"
2,0.0417072718790645,0.0302404866721437,0.0552243288001304,"Patients-Contact","Vaccination"
2,0.0803401478796424,0.0686856465661429,0.0928798678663505,"Patients-Duration","Vaccination"
2,-0.0109682623924421,-0.0230255391266196,-5.08811907413837e-05,"Staff-Both","Vaccination"
2,-0.033425359159883,-0.0466080443903824,-0.0208236516474696,"Staff-Contact","Vaccination"
2,-0.0411298454454675,-0.0538807664745144,-0.0272005866833423,"Staff-Duration","Vaccination"
4,0.0699817363905784,0.0583093843692528,0.0824297087941772,"Both-Both","Vaccination"
4,0.0284913100497819,0.0168282548296441,0.0406421747031399,"Both-Contact","Vaccination"
4,0.136969158894444,0.12505399424946,0.148477283447363,"Both-Duration","Vaccination"
4,0.139364232044994,0.127824654687378,0.151239836310784,"Patients-Both","Vaccination"
4,0.110915500002507,0.0988974245457609,0.122263853182683,"Patients-Contact","Vaccination"
4,0.200062789715402,0.189598270666227,0.211097153997496,"Patients-Duration","Vaccination"
4,0.0122519655778447,1.64525813564933e-05,0.0250256351811151,"Staff-Both","Vaccination"
4,-0.0120962195520841,-0.0244860430036936,-4.90221951614761e-05,"Staff-Contact","Vaccination"
4,0.0166344334291557,0.00429369545991827,0.0282591254593573,"Staff-Duration","Vaccination"
6,0.0988525230630589,0.0858247168262106,0.110748652193511,"Both-Both","Vaccination"
6,0.0214486599409245,0.00890742141403851,0.0333717014825902,"Both-Contact","Vaccination"
6,0.178829478291319,0.167859409295788,0.190482558526908,"Both-Duration","Vaccination"
6,0.185098333549635,0.174956646705795,0.195637250701853,"Patients-Both","Vaccination"
6,0.136906941465241,0.124931361518986,0.148891742276007,"Patients-Contact","Vaccination"
6,0.225042258236515,0.214789538327928,0.234860617252237,"Patients-Duration","Vaccination"
6,-0.00315513155324416,-0.0138566328630219,0.00696949420932108,"Staff-Both","Vaccination"
6,-1.01513994988438e-06,-0.012485292143869,0.00835298200819775,"Staff-Contact","Vaccination"
6,0.02235881496103,0.0103966888745616,0.0352135376064599,"Staff-Duration","Vaccination"
8,0.122686402016567,0.111120076350138,0.134444306805966,"Both-Both","Vaccination"
8,0.0319109368845481,0.0192771835343369,0.0444706576654124,"Both-Contact","Vaccination"
8,0.16907800864621,0.158354282864915,0.180323919319009,"Both-Duration","Vaccination"
8,0.180953053452308,0.170466242115934,0.191658384781179,"Patients-Both","Vaccination"
8,0.177049271173708,0.166612864925442,0.187798429872448,"Patients-Contact","Vaccination"
8,0.241668311488303,0.231039343259923,0.252164198512198,"Patients-Duration","Vaccination"
8,0.0118690844789841,3.95916244491593e-05,0.024122561466287,"Staff-Both","Vaccination"
8,0.0121420062934972,3.22936355461272e-05,0.0246094842562084,"Staff-Contact","Vaccination"
8,0.0354038312145804,0.0238921193254623,0.048752264174833,"Staff-Duration","Vaccination"
10,0.110330760550993,0.0979352992529065,0.122335842017271,"Both-Both","Vaccination"
10,0.0158687662467081,0.00383294301254405,0.0274688904746624,"Both-Contact","Vaccination"
10,0.0406035667665313,0.0277442431233651,0.052981335283561,"Both-Duration","Vaccination"
10,0.214311416673949,0.204299205586645,0.224277000123099,"Patients-Both","Vaccination"
10,0.140278187693552,0.128549048575449,0.151780723935981,"Patients-Contact","Vaccination"
10,0.277819713083864,0.267807631866728,0.28746024414817,"Patients-Duration","Vaccination"
10,0.0170981183132309,0.00619190706439923,0.0297456319461445,"Staff-Both","Vaccination"
10,0.00515777619995809,-0.00514979481319004,0.0166850231954742,"Staff-Contact","Vaccination"
10,0.0187221063154227,0.00642044688118463,0.031713859946027,"Staff-Duration","Vaccination"
