"acq_PA","acq_PE","acq_tot","sim_id","scenario"
43,9,52,1,0
32,6,38,2,0
37,4,41,3,0
36,3,39,4,0
26,2,28,5,0
33,8,41,6,0
27,6,33,7,0
43,8,51,8,0
22,8,30,9,0
31,4,35,10,0
34,8,42,11,0
27,5,32,12,0
28,3,31,13,0
28,5,33,14,0
37,0,37,15,0
37,5,42,16,0
26,4,30,17,0
36,9,45,18,0
27,6,33,19,0
30,5,35,20,0
34,5,39,21,0
36,5,41,22,0
32,4,36,23,0
33,10,43,24,0
24,4,28,25,0
32,5,37,26,0
30,3,33,27,0
17,4,21,28,0
33,8,41,29,0
35,4,39,30,0
33,5,38,31,0
41,8,49,32,0
40,5,45,33,0
31,2,33,34,0
29,3,32,35,0
28,4,32,36,0
25,4,29,37,0
26,7,33,38,0
29,8,37,39,0
26,7,33,40,0
31,3,34,41,0
30,8,38,42,0
30,8,38,43,0
31,6,37,44,0
31,5,36,45,0
31,4,35,46,0
25,9,34,47,0
25,9,34,48,0
23,4,27,49,0
31,2,33,50,0
30,4,34,51,0
33,6,39,52,0
33,6,39,53,0
35,7,42,54,0
33,6,39,55,0
26,4,30,56,0
31,7,38,57,0
30,4,34,58,0
32,8,40,59,0
36,5,41,60,0
22,5,27,61,0
29,9,38,62,0
29,3,32,63,0
28,6,34,64,0
23,4,27,65,0
42,5,47,66,0
33,4,37,67,0
38,4,42,68,0
35,6,41,69,0
33,3,36,70,0
31,8,39,71,0
27,5,32,72,0
26,6,32,73,0
28,3,31,74,0
36,6,42,75,0
27,2,29,76,0
30,2,32,77,0
32,6,38,78,0
34,4,38,79,0
29,4,33,80,0
35,4,39,81,0
32,5,37,82,0
36,4,40,83,0
33,4,37,84,0
30,4,34,85,0
32,7,39,86,0
39,3,42,87,0
28,5,33,88,0
34,2,36,89,0
22,4,26,90,0
32,4,36,91,0
25,3,28,92,0
32,7,39,93,0
35,3,38,94,0
38,8,46,95,0
35,3,38,96,0
32,5,37,97,0
33,3,36,98,0
28,4,32,99,0
34,4,38,100,0
40,4,44,101,0
29,3,32,102,0
25,2,27,103,0
24,7,31,104,0
22,3,25,105,0
33,3,36,106,0
32,2,34,107,0
36,8,44,108,0
40,11,51,109,0
30,4,34,110,0
32,5,37,111,0
29,5,34,112,0
30,9,39,113,0
39,5,44,114,0
31,2,33,115,0
31,5,36,116,0
39,4,43,117,0
39,7,46,118,0
27,7,34,119,0
34,5,39,120,0
31,2,33,121,0
36,7,43,122,0
33,2,35,123,0
39,9,48,124,0
32,8,40,125,0
31,2,33,126,0
43,7,50,127,0
34,5,39,128,0
26,4,30,129,0
36,4,40,130,0
30,3,33,131,0
24,3,27,132,0
38,5,43,133,0
32,7,39,134,0
34,6,40,135,0
40,8,48,136,0
31,5,36,137,0
21,4,25,138,0
28,6,34,139,0
25,2,27,140,0
34,4,38,141,0
32,5,37,142,0
25,6,31,143,0
29,6,35,144,0
28,7,35,145,0
22,7,29,146,0
34,7,41,147,0
29,2,31,148,0
28,8,36,149,0
31,5,36,150,0
28,10,38,151,0
30,6,36,152,0
32,2,34,153,0
29,4,33,154,0
33,2,35,155,0
28,6,34,156,0
28,7,35,157,0
35,4,39,158,0
36,4,40,159,0
31,7,38,160,0
24,4,28,161,0
25,3,28,162,0
36,3,39,163,0
24,3,27,164,0
22,6,28,165,0
33,5,38,166,0
27,5,32,167,0
25,2,27,168,0
27,7,34,169,0
29,4,33,170,0
37,2,39,171,0
32,1,33,172,0
34,6,40,173,0
24,5,29,174,0
34,3,37,175,0
26,5,31,176,0
34,6,40,177,0
28,3,31,178,0
27,4,31,179,0
42,7,49,180,0
26,5,31,181,0
30,4,34,182,0
32,7,39,183,0
27,4,31,184,0
34,8,42,185,0
33,9,42,186,0
32,5,37,187,0
29,4,33,188,0
32,4,36,189,0
29,6,35,190,0
29,4,33,191,0
25,9,34,192,0
30,3,33,193,0
37,5,42,194,0
28,6,34,195,0
44,4,48,196,0
22,4,26,197,0
29,5,34,198,0
28,4,32,199,0
28,6,34,200,0
24,4,28,201,0
28,7,35,202,0
30,1,31,203,0
29,6,35,204,0
29,5,34,205,0
28,10,38,206,0
30,9,39,207,0
23,1,24,208,0
35,7,42,209,0
29,7,36,210,0
31,5,36,211,0
23,6,29,212,0
33,2,35,213,0
28,6,34,214,0
29,6,35,215,0
34,2,36,216,0
41,7,48,217,0
27,5,32,218,0
27,7,34,219,0
30,5,35,220,0
34,3,37,221,0
31,8,39,222,0
26,2,28,223,0
33,2,35,224,0
29,7,36,225,0
21,3,24,226,0
35,8,43,227,0
36,5,41,228,0
24,4,28,229,0
30,5,35,230,0
28,3,31,231,0
34,4,38,232,0
27,2,29,233,0
29,8,37,234,0
40,4,44,235,0
34,3,37,236,0
32,5,37,237,0
33,5,38,238,0
33,7,40,239,0
31,4,35,240,0
24,7,31,241,0
30,2,32,242,0
21,7,28,243,0
25,5,30,244,0
32,7,39,245,0
31,5,36,246,0
31,7,38,247,0
33,3,36,248,0
32,3,35,249,0
24,4,28,250,0
30,7,37,251,0
34,3,37,252,0
22,0,22,253,0
29,2,31,254,0
32,2,34,255,0
28,4,32,256,0
30,3,33,257,0
35,3,38,258,0
26,5,31,259,0
32,1,33,260,0
29,4,33,261,0
32,4,36,262,0
26,4,30,263,0
43,7,50,264,0
33,2,35,265,0
36,4,40,266,0
39,6,45,267,0
38,8,46,268,0
30,7,37,269,0
27,2,29,270,0
27,4,31,271,0
26,4,30,272,0
29,9,38,273,0
