"acq_PA","acq_PE","acq_tot","sim_id","scenario"
12,0,12,1,0
12,1,13,2,0
18,0,18,3,0
10,1,11,4,0
10,0,10,5,0
14,2,16,6,0
13,1,14,7,0
11,1,12,8,0
12,3,15,9,0
13,0,13,10,0
18,1,19,11,0
13,4,17,12,0
11,3,14,13,0
9,0,9,14,0
9,1,10,15,0
17,2,19,16,0
19,1,20,17,0
13,0,13,18,0
10,1,11,19,0
12,0,12,20,0
4,2,6,21,0
14,1,15,22,0
10,0,10,23,0
11,3,14,24,0
18,1,19,25,0
16,5,21,26,0
10,0,10,27,0
9,0,9,28,0
17,4,21,29,0
8,1,9,30,0
7,2,9,31,0
15,1,16,32,0
9,1,10,33,0
19,1,20,34,0
9,1,10,35,0
10,1,11,36,0
10,2,12,37,0
15,1,16,38,0
19,1,20,39,0
19,4,23,40,0
11,2,13,41,0
12,0,12,42,0
20,2,22,43,0
24,0,24,44,0
19,2,21,45,0
5,3,8,46,0
12,1,13,47,0
16,4,20,48,0
20,1,21,49,0
11,0,11,50,0
12,0,12,51,0
12,0,12,52,0
13,2,15,53,0
17,1,18,54,0
10,1,11,55,0
13,1,14,56,0
13,0,13,57,0
19,3,22,58,0
9,4,13,59,0
18,2,20,60,0
14,0,14,61,0
18,0,18,62,0
15,2,17,63,0
9,2,11,64,0
16,3,19,65,0
10,2,12,66,0
7,0,7,67,0
16,2,18,68,0
12,2,14,69,0
12,2,14,70,0
13,3,16,71,0
7,1,8,72,0
9,1,10,73,0
14,1,15,74,0
10,1,11,75,0
7,0,7,76,0
11,1,12,77,0
15,5,20,78,0
8,0,8,79,0
16,1,17,80,0
8,0,8,81,0
15,0,15,82,0
18,1,19,83,0
13,0,13,84,0
10,1,11,85,0
11,0,11,86,0
12,1,13,87,0
6,1,7,88,0
9,1,10,89,0
14,2,16,90,0
12,1,13,91,0
16,2,18,92,0
14,2,16,93,0
15,2,17,94,0
12,0,12,95,0
9,1,10,96,0
10,2,12,97,0
8,1,9,98,0
11,0,11,99,0
15,1,16,100,0
7,2,9,101,0
11,3,14,102,0
10,4,14,103,0
11,2,13,104,0
14,1,15,105,0
12,2,14,106,0
12,1,13,107,0
15,2,17,108,0
14,2,16,109,0
17,1,18,110,0
8,0,8,111,0
16,2,18,112,0
8,1,9,113,0
11,1,12,114,0
14,4,18,115,0
15,2,17,116,0
11,3,14,117,0
8,1,9,118,0
15,1,16,119,0
10,1,11,120,0
11,0,11,121,0
19,1,20,122,0
7,1,8,123,0
12,0,12,124,0
17,1,18,125,0
4,0,4,126,0
14,3,17,127,0
12,1,13,128,0
12,2,14,129,0
7,2,9,130,0
12,2,14,131,0
16,3,19,132,0
16,2,18,133,0
11,1,12,134,0
17,1,18,135,0
10,1,11,136,0
12,3,15,137,0
9,0,9,138,0
10,0,10,139,0
17,0,17,140,0
12,1,13,141,0
15,1,16,142,0
12,1,13,143,0
9,2,11,144,0
10,3,13,145,0
16,2,18,146,0
11,1,12,147,0
11,4,15,148,0
20,2,22,149,0
6,1,7,150,0
12,0,12,151,0
9,2,11,152,0
7,1,8,153,0
14,1,15,154,0
16,0,16,155,0
12,1,13,156,0
12,0,12,157,0
17,2,19,158,0
9,0,9,159,0
15,4,19,160,0
11,2,13,161,0
15,2,17,162,0
15,0,15,163,0
9,1,10,164,0
18,1,19,165,0
10,0,10,166,0
15,0,15,167,0
10,0,10,168,0
9,2,11,169,0
17,1,18,170,0
15,2,17,171,0
9,1,10,172,0
11,2,13,173,0
13,1,14,174,0
11,0,11,175,0
13,0,13,176,0
12,2,14,177,0
17,2,19,178,0
14,0,14,179,0
20,1,21,180,0
11,4,15,181,0
15,0,15,182,0
13,2,15,183,0
9,3,12,184,0
12,1,13,185,0
17,1,18,186,0
10,5,15,187,0
8,1,9,188,0
11,4,15,189,0
12,0,12,190,0
12,1,13,191,0
16,2,18,192,0
13,1,14,193,0
17,1,18,194,0
13,5,18,195,0
14,1,15,196,0
7,1,8,197,0
13,1,14,198,0
13,4,17,199,0
14,2,16,200,0
12,0,12,201,0
13,1,14,202,0
17,2,19,203,0
13,0,13,204,0
14,1,15,205,0
8,1,9,206,0
9,2,11,207,0
13,0,13,208,0
12,1,13,209,0
12,0,12,210,0
14,1,15,211,0
17,2,19,212,0
11,2,13,213,0
5,2,7,214,0
8,2,10,215,0
14,7,21,216,0
13,1,14,217,0
11,3,14,218,0
19,1,20,219,0
13,0,13,220,0
10,1,11,221,0
9,0,9,222,0
8,1,9,223,0
9,1,10,224,0
20,0,20,225,0
16,0,16,226,0
12,2,14,227,0
12,1,13,228,0
11,1,12,229,0
7,0,7,230,0
9,1,10,231,0
14,1,15,232,0
16,1,17,233,0
21,2,23,234,0
11,1,12,235,0
12,2,14,236,0
18,5,23,237,0
12,5,17,238,0
16,3,19,239,0
10,2,12,240,0
19,0,19,241,0
16,2,18,242,0
10,1,11,243,0
11,0,11,244,0
11,1,12,245,0
11,1,12,246,0
9,0,9,247,0
12,1,13,248,0
13,2,15,249,0
15,3,18,250,0
10,0,10,251,0
12,3,15,252,0
12,1,13,253,0
11,1,12,254,0
11,2,13,255,0
13,0,13,256,0
12,1,13,257,0
11,0,11,258,0
10,1,11,259,0
15,1,16,260,0
11,0,11,261,0
17,1,18,262,0
6,1,7,263,0
21,0,21,264,0
10,1,11,265,0
16,1,17,266,0
9,1,10,267,0
13,0,13,268,0
11,0,11,269,0
10,0,10,270,0
16,0,16,271,0
14,1,15,272,0
8,2,10,273,0
13,1,14,274,0
17,4,21,275,0
12,0,12,276,0
10,1,11,277,0
14,2,16,278,0
14,0,14,279,0
10,1,11,280,0
12,1,13,281,0
8,0,8,282,0
10,0,10,283,0
12,2,14,284,0
12,2,14,285,0
11,1,12,286,0
14,1,15,287,0
12,0,12,288,0
11,2,13,289,0
11,1,12,290,0
14,4,18,291,0
18,3,21,292,0
12,1,13,293,0
10,0,10,294,0
10,2,12,295,0
11,1,12,296,0
10,3,13,297,0
9,1,10,298,0
17,1,18,299,0
15,0,15,300,0
11,1,12,301,0
21,2,23,302,0
12,1,13,303,0
