scenario,val,lower,upper,pval,rel_val,rel_lower,rel_upper,rel_pval
1,0.222586121,0.211270719,0.233852152,1.02313008369091e-172,0.00272915,0.002614321,0.002880771,1.02313008369091e-172
2,0.387710328,0.378740996,0.396728821,0,0.003877106,0.0037744,0.003981108,0
3,0.026493787,0.013779017,0.039383558,5.25250507029027e-05,0.000959142,0.000510334,0.001476691,5.25250507029027e-05
4,-0.032016688,-0.045437274,-0.018655779,2.26054181530737e-06,-0.005327809,-0.007575013,-0.003109297,2.26054181530737e-06
5,-0.003228572,-0.016655433,0.009621696,0.61955937,-0.000538123,-0.002751787,0.0016122,0.61955937
6,0.066784385,0.054347489,0.079696896,5.4934966738444e-22,0.001568507,0.001263895,0.001851349,5.4934966738444e-22
7,0.565486838,0.55821374,0.572749359,0,0.003120289,0.003073549,0.003165269,0
8,0.244517937,0.234009952,0.254860569,2.45772546960677e-205,0.002261995,0.002163997,0.002363795,2.45772546960677e-205
9,0.207406562,0.196215055,0.218485671,7.4183468590039e-165,0.002382267,0.002230601,0.002530871,7.4183468590039e-165
10,0.216357626,0.205562168,0.226928939,5.42630303488831e-179,0.002463171,0.002369442,0.002598009,5.42630303488831e-179
11,0.280765071,0.270494283,0.290879024,3.35426144827483e-241,0.002248342,0.002199337,0.002336466,3.35426144827483e-241
12,0.429415762,0.420869494,0.437653417,0,0.003375694,0.003299888,0.003449398,0
13,0.387331334,0.378279342,0.396298772,2.09105842084836e-304,0.003644054,0.0035512,0.003739139,2.09105842084836e-304
14,0.418022282,0.409448414,0.42649017,0,0.003940719,0.00384647,0.004033542,0
15,0.448715182,0.440242036,0.456997693,0,0.003132259,0.003068529,0.003213352,0
16,0.034950598,0.021593247,0.047833951,3.24665431570437e-07,0.001078917,0.000654341,0.001451109,3.24665431570437e-07
17,0.027640585,0.015074962,0.040113516,2.11178151886029e-05,0.000862024,0.000455302,0.001209834,2.11178151886029e-05
18,0.117512885,0.10561168,0.129132897,4.48042415612597e-67,0.00167449,0.001501712,0.001860287,4.48042415612597e-67
19,-0.003732356,-0.017047745,0.009077528,0.562222258,-0.000292871,-0.001411787,0.000769821,0.562222258
20,0.058931269,0.045924997,0.071804645,9.94448724219763e-18,0.001224595,0.000941046,0.001472281,9.94448724219763e-18
21,0.068658862,0.056600834,0.080350259,4.07507943994638e-26,0.001419698,0.001157942,0.001622852,4.07507943994638e-26
22,0.592444791,0.585943186,0.598655464,0,0.00284362,0.002809829,0.002855405,0
