"scenario","val","lower","upper","group","inter"
2,0.100583333333333,0.0844824694704486,0.116684197196218,1,"Contact precaution"
4,0.129416666666667,0.112871438317755,0.145961895015578,2,"Contact precaution"
6,0.136083333333333,0.119414985839497,0.15275168082717,3,"Contact precaution"
8,0.161427145708583,0.145174958961764,0.177679332455402,4,"Contact precaution"
10,0.1725,0.155897386325823,0.189102613674177,5,"Contact precaution"
2,0.00241666666666667,-0.014894890367286,0.0197282237006194,6,"Contact precaution"
4,0.0199166666666667,0.00356135536445633,0.036271977968877,7,"Contact precaution"
6,0.0148333333333333,-0.00215188538641655,0.0318185520530832,8,"Contact precaution"
8,0.0109166666666667,-0.0063353310728353,0.0281686644061686,9,"Contact precaution"
10,0.0273333333333333,0.0112829885134294,0.0433836781532373,10,"Contact precaution"
2,-0.00466666666666667,-0.0209767273675458,0.0116433940342125,11,"Contact precaution"
4,-0.000333333333333333,-0.0173259324175678,0.0166592657509011,12,"Contact precaution"
6,0.00975,-0.00720434548470728,0.0267043454847073,13,"Contact precaution"
8,0.014,-0.00253399836117311,0.0305339983611731,14,"Contact precaution"
10,0.0196666666666667,0.00206942244279679,0.0372639108905365,15,"Contact precaution"
2,-0.0105833333333333,-0.0285582270127166,0.00739156034604997,16,"Contact precaution"
4,0.00841666666666667,-0.00905188189162948,0.0258852152249628,17,"Contact precaution"
6,0.00875,-0.00796929494588033,0.0254692949458803,18,"Contact precaution"
8,-0.000416666666666667,-0.0175391637360791,0.0167058304027458,19,"Contact precaution"
10,0.00225,-0.0143714847782685,0.0188714847782685,20,"Contact precaution"
2,0.0206666666666667,0.00397789030398612,0.0373554430293472,21,"Contact precaution"
4,0.0103333333333333,-0.00569391382915225,0.0263605804958189,22,"Contact precaution"
6,0.0130833333333333,-0.00453915009836014,0.0307058167650268,23,"Contact precaution"
8,0.0124166666666667,-0.00502726224810618,0.0298605955814395,24,"Contact precaution"
10,0.01475,-0.0019334239541521,0.0314334239541521,25,"Contact precaution"
2,0.10375,0.0874834563610523,0.120016543638948,26,"Contact precaution"
4,0.167833333333333,0.151237671361884,0.184428995304783,27,"Contact precaution"
6,0.1745,0.158858602391359,0.190141397608641,28,"Contact precaution"
8,0.203666666666667,0.188115341273783,0.219217992059551,29,"Contact precaution"
10,0.21025,0.194660537946044,0.225839462053956,30,"Contact precaution"
2,0.0585,0.0420157554058724,0.0749842445941276,1,"Vaccination"
4,0.0733333333333333,0.0565416992721096,0.0901249673945571,2,"Vaccination"
6,0.07525,0.0584751848716073,0.0920248151283927,3,"Vaccination"
8,0.0909166666666667,0.0748315455115407,0.107001787821793,4,"Vaccination"
10,0.0790833333333333,0.0621748545390792,0.0959918121275875,5,"Vaccination"
2,0.006,-0.010496656397924,0.022496656397924,6,"Vaccination"
4,0.01225,-0.00464734238841374,0.0291473423884137,7,"Vaccination"
6,0.0125833333333333,-0.00407354950433926,0.0292402161710059,8,"Vaccination"
8,0.02575,0.00813945824174526,0.0433605417582547,9,"Vaccination"
10,0.00391666666666667,-0.013291606491707,0.0211249398250403,10,"Vaccination"
2,0.00391666666666667,-0.0128264140180147,0.020659747351348,11,"Vaccination"
4,-0.00383333333333333,-0.0217880616910046,0.0141213950243379,12,"Vaccination"
6,0.01825,0.00239984537398972,0.0341001546260103,13,"Vaccination"
8,0.00758333333333333,-0.00990046199372566,0.0250671286603923,14,"Vaccination"
10,-0.00275,-0.0207548151213609,0.0152548151213609,15,"Vaccination"
2,-0.00516666666666667,-0.0232663296400702,0.0129329963067368,16,"Vaccination"
4,0.0025,-0.0149235930618738,0.0199235930618738,17,"Vaccination"
6,-0.00358333333333333,-0.0208155652413918,0.0136488985747251,18,"Vaccination"
8,0.00616666666666667,-0.0105703696472075,0.0229037029805409,19,"Vaccination"
10,-0.00816666666666667,-0.025400059789519,0.00906672645618572,20,"Vaccination"
2,-0.00491666666666667,-0.0225104227253847,0.0126770893920513,21,"Vaccination"
4,0.0169166666666667,0.00100097660972292,0.0328323567236104,22,"Vaccination"
6,0.0280833333333333,0.011052923016487,0.0451137436501796,23,"Vaccination"
8,0.0159166666666667,-0.00149137848011936,0.0333247118134527,24,"Vaccination"
10,0.0148333333333333,-0.00111948430305101,0.0307861509697177,25,"Vaccination"
2,0.065,0.0472351979103067,0.0827648020896933,26,"Vaccination"
4,0.0891666666666667,0.0730834142280775,0.105249919105256,27,"Vaccination"
6,0.10525,0.0894358262622279,0.121064173737772,28,"Vaccination"
8,0.117583333333333,0.101601475723653,0.133565190943013,29,"Vaccination"
10,0.116083333333333,0.0995570127796811,0.132609653886986,30,"Vaccination"
